crop_name,soil_types,climates,seasons,water_needs,humidity_preference,soil_fertility
Rice,"clay,loamy,alluvial","tropical,subtropical","summer,rainy",high,high,"medium,high"
Wheat,"loamy,sandy loam,alluvial","temperate,subtropical","winter,spring",medium,"low,medium","medium,high"
Corn,"loamy,sandy,alluvial","temperate,subtropical",summer,medium,medium,"medium,high"
Cotton,"loamy,black soil","subtropical,tropical","summer,rainy",medium,medium,high
Sugarcane,"loamy,clay,black soil","tropical,subtropical",spring,high,high,high
Potato,"loamy,sandy loam",temperate,"winter,spring",medium,medium,"medium,high"
Tomato,"loamy,sandy loam","temperate,subtropical","summer,spring",medium,medium,"medium,high"
Soybean,"loamy,clay loam","temperate,subtropical",summer,medium,medium,medium
Barley,"loamy,clay loam",temperate,"winter,spring",low,low,"low,medium"
Oats,"loamy,sandy loam",temperate,"spring,fall",medium,medium,medium
Chickpea,"sandy loam,loamy",subtropical,winter,low,low,"low,medium"
Mustard,"loamy,clay",subtropical,winter,low,low,medium
Groundnut,"sandy,loamy,red","tropical,subtropical",rainy,medium,medium,medium
Sunflower,"loamy,sandy loam","temperate,subtropical","spring,summer",medium,"low,medium",medium
Mango,"loamy,alluvial,laterite",tropical,summer,medium,"medium,high",medium
Banana,"loamy,alluvial",tropical,rainy,high,high,high
Coffee,"loamy,volcanic","tropical,subtropical",rainy,medium,high,"medium,high"
Tea,"loamy,acidic","tropical,subtropical",rainy,high,high,medium
Cashew,"sandy,red,laterite",tropical,summer,low,medium,"low,medium"
Coconut,"sandy,loamy,laterite",tropical,rainy,medium,high,medium
Orange,"loamy,sandy loam",subtropical,winter,medium,medium,"medium,high"
Apple,"loamy,sandy loam",temperate,spring,medium,"low,medium","medium,high"
Grape,"sandy,loamy","mediterranean,temperate","spring,summer","low,medium",low,medium
Onion,"loamy,sandy loam","temperate,subtropical",winter,medium,"low,medium",medium
Garlic,"loamy,sandy loam",temperate,winter,medium,low,medium
Turmeric,"loamy,sandy loam",tropical,rainy,high,high,high
Ginger,"loamy,sandy loam",tropical,rainy,high,high,high
Chili Pepper,"loamy,sandy loam","tropical,subtropical",summer,medium,"medium,high","medium,high"
Cardamom,"loamy,forest",tropical,rainy,high,high,high
Black Pepper,"loamy,forest",tropical,rainy,high,high,"medium,high"
Millets,"sandy,loamy","tropical,subtropical","summer,rainy",low,low,"low,medium"
Jute,"loamy,clay","tropical,subtropical",rainy,high,high,"medium,high"
Ragi,"red,laterite,sandy loam","tropical,subtropical","summer,rainy",medium,medium,"low,medium"
Jowar,"black soil,loamy","tropical,subtropical","summer,rainy",low,medium,"medium,low"
Bajra,"sandy,loamy","tropical,subtropical","summer,rainy",low,low,"low,medium"
Pigeon Pea,"loamy,black soil",subtropical,"rainy,winter",low,medium,medium
Green Gram,"loamy,sandy loam","tropical,subtropical","summer,rainy",low,medium,medium
Black Gram,"loamy,black soil","tropical,subtropical","summer,rainy",medium,medium,medium
Sesame,"sandy loam,black soil","tropical,subtropical","summer,rainy",low,medium,medium
Safflower,"black soil,loamy",subtropical,winter,low,low,medium
Lentils,"loamy,sandy loam",subtropical,winter,medium,low,medium
